0;1;2500
0;9;2500
1;0;2500
1;2;2500
2;1;2500
2;3;2500
3;2;2500
3;4;10000
3;9;10000
4;3;10000
4;5;????
4;10;2500
4;12;????
4;13;????
4;17;????
4;18;????
4;19;????
4;22;????
4;23;????
5;4;????
6;9;????
7;9;????
8;4;10000
8;9;10000
8;21;2500
9;0;2500
9;3;10000
9;6;????
9;7;????
9;8;10000
9;11;????
9;14;4
9;15;4
9;26;4
10;4;2500
10;16;2500
11;9;????
12;4;????
13;4;????
14;9;4
15;9;4
16;10;2500
16;21;2500
17;4;????
18;4;????
19;4;????
20;3;16
21;8;2500
21;16;2500
22;4;????
23;4;????
24;3;4
25;3;4
26;9;4
